"district","rps01","rps02","rps03","rps04","rps05","rps06","rps07","rps08","rps09","rps10","rps11","rps12","rps13","rps14","rps15","rps16","rps17","rps18","rps19","rps20","rps21","rps22","rps23","rps24","rps25","rps26","rps27","rps28","rps29","rps30","rps31"
"三峽區","房地(土地+建物)","新北市三峽區中山路３０９號五樓","6.53","住","","","1120205","土地1建物1車位0","五層","十五層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","950123","43.21","1","0","1","無","有","4160000","96274","","0","0","","RPOOMLKKLHIGFIF87DA","23.12","0","3.26","有"
"三峽區","房地(土地+建物)","新北市三峽區紫新路６６號五樓","49.68","","山坡地保育區","丙種建築用地","1120208","土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","850312","96.82","3","2","2","有","有","3200000","33051","","0","0","","RPQNMLKKKHIGFIF87DA","79.44","0.88","8.2","無"
"三峽區","房地(土地+建物)","新北市三峽區中正路三段７０巷６８號","79","","山坡地保育區","丙種建築用地","1120212","土地1建物1車位0","全","二層","透天厝","住家用","加強磚造","701228","107.44","3","3","2","無","無","7300000","67945","","0","0","陽台外推；頂樓加蓋；其他增建；","RPQNMLKKLHIGFIF97DA","91.1","8.17","8.17","無"
"三峽區","土地","民族段547地號","8.74","都市：其他:道路用地","","","1120224","土地1建物0車位0","","","其他","","","","0","0","0","0","無","無","500000","57208","","0","0","親友、員工、共有人或其他特殊關係間之交易；","RPTOMLTJLHIGFIF56DA","0","0","0","無"
"三峽區","土地","民族段581地號","1.28","都市：其他:道路用地","","","1120224","土地1建物0車位0","","","其他","","","","0","0","0","0","無","無","68000","53125","","0","0","","RPVNMLNKLHIGFIF78DA","0","0","0","無"
"三峽區","房地(土地+建物)+車位","新北市三峽區介壽路二段１８３號二樓","45.96","","一般農業區","甲種建築用地","1120213","土地2建物1車位1","二層","九層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","1111025","179.68","3","2","2","有","有","17050000","105158","坡道平面","34.66","1800000","","RPUNMLQKLHIGFIF98DA","89.92","0","9.12","有"
"三峽區","土地","麻園段794地號","211.46","","一般農業區","農牧用地","1120223","土地1建物0車位0","","","其他","","","","0","0","0","0","無","無","4500000","21281","","0","0","親友、員工、共有人或其他特殊關係間之交易；","RPRNMLQKLHIGFIF68DA","0","0","0","無"
"三峽區","房地(土地+建物)","新北市三峽區大同路２３６號五樓之一","15.06","住","","","1120227","土地1建物1車位0","五層","十一層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1090427","65.27","2","2","1","有","有","7000000","107247","","0","0","","RPROMLOKLHIGFIF58DA","40.54","0","3.2","有"
"三峽區","房地(土地+建物)+車位","新北市三峽區民生街１９巷７弄１號五樓","19.73","住","","","1120208","土地1建物1車位1","五層","十一層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1020523","120.3","2","2","1","有","有","12500000","103907","坡道平面","27.98","0","","RPVNMLPKLHIGFIF98DA","57.86","2.8","3.64","有"
"三峽區","車位","新北市三峽區復興路１７６號等","0","","","","1120210","土地0建物1車位1","","","其他","","","","24.58","0","0","0","無","有","1500000","","坡道平面","24.58","1500000","僅車位交易；","RPPNMLMLKHIGFIF08DA","0","0","0","有"
"三峽區","房地(土地+建物)+車位","新北市三峽區愛國路１６６號","16.53","商","","","1120211","土地1建物2車位1","一層，二層","十四層","住宅大樓(11層含以上有電梯)","其他","鋼筋混凝土造","1100719","166.86","0","0","2","有","有","20000000","133483","坡道平面","28.64","1550000","愛國路166號買賣總價1320萬元整含車位155萬元愛國路168號買賣總價680萬元整","RPSOMLLJLHIGFIF28DA","92.65","0","0","有"
"三峽區","土地","仁愛段104地號","34.63","住","","","1120220","土地1建物0車位0","","","其他","","","","0","0","0","0","無","無","2511404","72521","","0","0","親友、員工、共有人或其他特殊關係間之交易；","RPQOMLNJLHIGFIF28DA","0","0","0","無"
